Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
0.206434,0.872093,5.41684,-0.110477,-0.127713,-0.305163,-0.439102
0.207185,0.872545,5.41632,-0.105834,-0.120668,-0.308301,-0.441346
0.207934,0.873067,5.41586,-0.107684,-0.113199,-0.321651,-0.459329
0.208683,0.873583,5.41532,-0.108662,-0.113385,-0.312811,-0.446385
0.209434,0.874068,5.41478,-0.10693,-0.111765,-0.315603,-0.448397
0.210183,0.87463,5.41413,-0.112421,-0.121387,-0.327796,-0.453583
0.210933,0.875072,5.41358,-0.10694,-0.120985,-0.321041,-0.450881
0.211685,0.875597,5.41312,-0.108321,-0.11324,-0.32316,-0.453937
0.212434,0.875986,5.41267,-0.0997665,-0.108162,-0.345716,-0.471446
0.213181,0.876364,5.41233,-0.0931597,-0.0960477,-0.33052,-0.460876
0.213933,0.876738,5.41181,-0.0891855,-0.0991173,-0.354906,-0.473885
0.214686,0.877113,5.41144,-0.0862828,-0.0924565,-0.338419,-0.466686
0.215432,0.87743,5.41106,-0.080191,-0.0890218,-0.342874,-0.470168
0.216183,0.877788,5.41053,-0.0789656,-0.096789,-0.368466,-0.482613
0.216936,0.878184,5.41024,-0.0811729,-0.0854604,-0.350538,-0.476845
0.217687,0.878521,5.40976,-0.0788078,-0.0896998,-0.35503,-0.47922
0.218434,0.878894,5.40935,-0.0797226,-0.0884705,-0.378246,-0.499836
0.219187,0.87938,5.40887,-0.0871487,-0.0915326,-0.361508,-0.485283
0.219936,0.879787,5.4084,-0.0867526,-0.0940547,-0.365093,-0.487888
0.220685,0.880247,5.40785,-0.0887513,-0.101617,-0.383613,-0.499477
0.221435,0.880604,5.40741,-0.0841626,-0.099054,-0.37235,-0.49252
0.222184,0.881056,5.40702,-0.0876465,-0.0934586,-0.375155,-0.496334
0.222936,0.881585,5.40651,-0.0958838,-0.0983648,-0.388652,-0.511375
0.223686,0.881988,5.40608,-0.0930142,-0.096383,-0.380895,-0.501852
0.224436,0.882365,5.40568,-0.0888065,-0.0924416,-0.403868,-0.523507
0.225188,0.882814,5.40516,-0.0915483,-0.0970722,-0.387877,-0.507511
0.225935,0.883248,5.4046,-0.0917422,-0.104083,-0.391333,-0.509014
0.226684,0.883626,5.4042,-0.0878574,-0.0981041,-0.414195,-0.530144
0.227436,0.88406,5.40369,-0.0888013,-0.0997879,-0.398472,-0.514651
0.228188,0.884464,5.4032,-0.0863908,-0.100175,-0.402134,-0.517169
0.228936,0.885084,5.40283,-0.100702,-0.0943043,-0.407801,-0.542462
0.229686,0.885575,5.40229,-0.101932,-0.101069,-0.405515,-0.523547
0.230435,0.88602,5.40188,-0.0979767,-0.0973553,-0.408469,-0.526973
0.231186,0.886506,5.40132,-0.0991469,-0.104355,-0.418282,-0.533513
